degree,degree_values,degree_geocde,strength,strength_values,strength_geocde,betweenness,betweenness_values,betweenness_geocde,betweenness_w,betweenness_w_values,betweenness_w_geocde,closeness,closeness_values,closeness_geocde,closeness_w,closeness_w_values,closeness_w_geocde
126,1,2932903.0,180,5.519230769230764,4127106.0,130,0.0,3104007.0,127,0.0,3101706.0,42,0.33266533066132264,1302900.0,126,0.01228053452762195,2932903.0
144,1,3202405.0,193,5.17307692307692,4304408.0,131,0.0,3148103.0,128,0.0,3103405.0,32,0.332,1303809.0,114,0.012095971839591043,3170701.0
155,1,5008305.0,178,4.53846153846154,4105508.0,132,0.0,3148004.0,129,0.0,3121605.0,65,0.33001988071570576,1501808.0,105,0.011704263947965374,2605459.0
161,1,3503208.0,150,4.192307692307695,3300100.0,133,0.0,3168606.0,130,0.0,3104007.0,68,0.33001988071570576,1600279.0,141,0.011664455032661019,5204508.0
162,1,3505500.0,187,3.80769230769231,4108403.0,134,0.0,3170057.0,131,0.0,3148103.0,56,0.32936507936507936,1508100.0,109,0.01124709604201765,2924009.0
168,1,4209300.0,200,3.76923076923077,4321501.0,135,0.0,3139409.0,132,0.0,3148004.0,180,0.3287128712871287,4127106.0,157,0.009874837125818376,3302403.0
169,1,4109401.0,212,3.75,5106752.0,136,0.0,3171303.0,133,0.0,3168606.0,185,0.32806324110671936,4128203.0,32,0.009868402249428667,1303809.0
172,1,3510500.0,202,3.5769230769230838,5102702.0,137,0.0,3152501.0,134,0.0,3170057.0,187,0.32806324110671936,4108403.0,151,0.009837698489129182,3301009.0
173,1,3516200.0,158,3.2692307692307727,3303807.0,138,0.0,3300704.0,135,0.0,3139409.0,168,0.32741617357001973,4209300.0,163,0.008238614400968172,4119905.0
175,1,3548500.0,172,2.80769230769231,3510500.0,139,0.0,3151800.0,136,0.0,3171303.0,176,0.32741617357001973,4101507.0,198,0.008128297530342221,4322400.0
176,1,4101507.0,207,2.71153846153846,5101407.0,140,0.0,3151503.0,137,0.0,3152501.0,177,0.32741617357001973,4104303.0,161,0.0079202615374593,3503208.0
177,1,4104303.0,121,2.48076923076923,2932507.0,141,0.0,5204508.0,138,0.0,3300704.0,178,0.32741617357001973,4105508.0,196,0.007718175713676427,4317509.0
178,1,4105508.0,144,2.40384615384615,3202405.0,142,0.0,3128709.0,139,0.0,3151800.0,181,0.32741617357001973,4118501.0,155,0.007257697009647223,5008305.0
179,1,4106407.0,175,2.11538461538462,3548500.0,143,0.0,3147907.0,140,0.0,3151503.0,182,0.32741617357001973,4127700.0,168,0.006837558091915725,4209300.0
181,1,4118501.0,184,1.96153846153846,4118204.0,144,0.0,3202405.0,141,0.0,5204508.0,183,0.32741617357001973,4108809.0,182,0.006188106390696605,4127700.0
182,1,4127700.0,211,1.9423076923076918,5106224.0,145,0.0,5218805.0,142,0.0,3128709.0,184,0.32741617357001973,4118204.0,181,0.006014517897928793,4118501.0
183,1,4108809.0,61,1.461538461538461,1500404.0,146,0.0,3136702.0,143,0.0,3147907.0,186,0.32741617357001973,4118402.0,191,0.004906611249395332,4314407.0
184,1,4118204.0,210,1.4423076923076918,5105259.0,147,0.0,3162500.0,144,0.0,3202405.0,96,0.3192307692307692,2304103.0,14,0.004825867364680588,1100304.0
